request_id,field,expected,actual,match,numeric_error_actual_minus_expected
request_01,request_id,request_01,request_01,true,
request_01,amount_safe_to_pay,25256,2854.19,false,-22401.81
request_01,affordability_status,affordable_now,not_affordable,false,
request_01,recommended_payment_method,full_payment,not_recommended,false,
request_01,payment_plan,2024-03-03:25256,none,false,
request_01,earliest_date_for_full_payment,2024-03-03,,false,
request_01,spending_changes_needed,none,none,true,
request_01,decision_explanation,"Pay ZAR 25,256 today. This leaves at least ZAR 18,000 available over the next 90 days.",No eligible plan completes by 2024-03-20 while keeping ZAR 18000 throughout the 90-day forecast.,false,
request_02,request_id,request_02,request_02,true,
request_02,amount_safe_to_pay,17229139.2,15961391.1,false,-1267748.1
request_02,affordability_status,affordable_with_plan,affordable_with_plan,true,
request_02,recommended_payment_method,installments,installments,true,
request_02,payment_plan,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,true,
request_02,earliest_date_for_full_payment,2025-09-15,2025-09-16,false,
request_02,spending_changes_needed,none,none,true,
request_02,decision_explanation,"Use 3 installments of IDR 15,952,906.67, starting 8 August 2025. This leaves at least IDR 29,158,400 available.","Use installments for IDR 47858720.01, completing on 2025-10-07. Projected minimum 29166884.43 on 2025-08-15 stays at or above 29158400. No spending changes required.",false,
request_03,request_id,request_03,request_03,true,
request_03,amount_safe_to_pay,873000,864706.41,false,-8293.59
request_03,affordability_status,affordable_later,affordable_later,true,
request_03,recommended_payment_method,wait,not_recommended,false,
request_03,payment_plan,2019-11-15:5491000,none,false,
request_03,earliest_date_for_full_payment,2019-11-15,2019-11-16,false,
request_03,spending_changes_needed,none,none,true,
request_03,decision_explanation,"Pay IDR 5,491,000 in full on 15 November 2019. Paying earlier would take the balance below the IDR 2,668,700 minimum.",No eligible plan completes by 2019-11-15 while keeping IDR 2668700 throughout the 90-day forecast. A single full payment is financially safe on 2019-11-16; the deadline or permitted methods prevent recommending it.,false,
request_04,request_id,request_04,request_04,true,
request_04,amount_safe_to_pay,8401800,7696931.86,false,-704868.14
request_04,affordability_status,affordable_later,affordable_with_plan,false,
request_04,recommended_payment_method,wait,wait,true,
request_04,payment_plan,2024-06-15:12693000,2024-06-16:12693000,false,
request_04,earliest_date_for_full_payment,2024-06-15,2024-07-16,false,
request_04,spending_changes_needed,none,stop:event_287|reduce_to:event_290:692550,false,
